ID_Commande,Canal_Marketing,CAC,Impressions,Clics
M-10098,Google Search,40.82,629,13
M-10099,SEO/Direct,5.47,181,1
M-10100,SEO/Direct,5.39,925,2
M-10101,Google Search,48.5,292,6
M-10102,TikTok Ads,20.64,690,40
M-10103,Meta (FB/IG),31.69,298,6
M-10104,SEO/Direct,5.27,841,5
M-10105,Google Search,46.68,467,7
M-10106,TikTok Ads,23.88,592,27
M-10107,Google Search,45.82,148,1
M-10108,TikTok Ads,23.89,467,16
M-10109,Google Search,45.97,214,3
M-10110,TikTok Ads,19.95,339,14
M-10111,Google Search,46.27,827,13
M-10112,Meta (FB/IG),36.14,361,10
M-10113,Meta (FB/IG),32.17,602,14
M-10114,TikTok Ads,23.4,217,12
M-10115,SEO/Direct,5.07,373,2
M-10116,TikTok Ads,23.79,997,52
M-10117,Meta (FB/IG),37.41,290,5
M-10118,Meta (FB/IG),38.08,909,32
M-10119,Meta (FB/IG),36.95,491,15
M-10120,SEO/Direct,4.76,910,3
M-10121,TikTok Ads,19.87,879,26
M-10122,Google Search,40.69,445,6
M-10123,TikTok Ads,21.88,437,25
M-10124,TikTok Ads,22.61,583,35
M-10125,Google Search,42.09,257,3
M-10126,Meta (FB/IG),38.41,553,16
M-10127,Google Search,49.34,141,1
M-10128,SEO/Direct,4.71,806,3
M-10129,Meta (FB/IG),31.59,396,5
M-10130,SEO/Direct,4.76,321,1
M-10131,TikTok Ads,21.53,811,19
M-10132,Google Search,48.19,716,12
M-10133,SEO/Direct,5.05,247,0
M-10134,Google Search,49.35,294,6
M-10135,Meta (FB/IG),33.76,674,22
M-10136,TikTok Ads,23.19,549,31
M-10137,SEO/Direct,5.21,522,1
M-10138,Meta (FB/IG),33.28,113,2
M-10139,Google Search,41.06,523,11
M-10140,Google Search,42.06,783,14
M-10141,SEO/Direct,5.5,803,4
M-10142,TikTok Ads,22.83,230,10
M-10143,SEO/Direct,4.62,687,3
M-10144,Google Search,43.52,136,1
M-10145,Google Search,40.99,491,5
M-10146,TikTok Ads,21.36,970,35
M-10147,Meta (FB/IG),37.22,447,5
M-10148,Meta (FB/IG),31.6,190,5
M-10149,TikTok Ads,23.53,312,11
M-10150,SEO/Direct,5.06,497,2
M-10151,SEO/Direct,4.7,346,1
M-10152,Meta (FB/IG),32.2,576,10
M-10153,Google Search,41.84,301,4
M-10154,TikTok Ads,19.94,709,29
M-10155,Meta (FB/IG),36.7,656,14
M-10156,Meta (FB/IG),37.59,462,11
M-10157,Google Search,47.63,197,4
M-10158,SEO/Direct,5.29,603,1
M-10159,Google Search,44.92,808,16
M-10160,TikTok Ads,24.02,177,6
M-10161,Google Search,47.71,105,2
M-10162,TikTok Ads,19.98,492,28
M-10163,TikTok Ads,21.96,568,24
M-10164,Meta (FB/IG),37.27,718,15
M-10165,SEO/Direct,4.5,747,2
M-10166,Meta (FB/IG),33.99,773,24
M-10167,Google Search,48.98,505,9
M-10168,TikTok Ads,23.03,389,21
M-10169,Meta (FB/IG),35.5,361,9
M-10170,TikTok Ads,21.64,623,40
M-10171,TikTok Ads,20.9,248,10
M-10172,TikTok Ads,23.85,293,13
M-10173,Google Search,46.05,696,7
M-10174,TikTok Ads,20.66,453,24
M-10175,Google Search,46.67,842,6
M-10176,Google Search,40.68,654,8
M-10177,TikTok Ads,21.35,707,28
M-10178,Google Search,48.01,925,13
M-10179,Meta (FB/IG),32.96,825,20
M-10180,Meta (FB/IG),36.28,127,3
M-10181,TikTok Ads,22.28,646,17
M-10182,TikTok Ads,21.3,250,7
M-10183,TikTok Ads,23.94,417,19
M-10184,Meta (FB/IG),33.67,944,11
M-10185,TikTok Ads,20.21,389,19
M-10186,Google Search,43.84,181,3
M-10187,Meta (FB/IG),35.15,640,15
M-10188,Google Search,47.15,128,1
M-10189,TikTok Ads,23.67,731,32
M-10190,SEO/Direct,4.73,211,1
M-10191,SEO/Direct,4.69,518,3
M-10192,Meta (FB/IG),34.15,181,2
M-10193,TikTok Ads,21.29,840,34
M-10194,Meta (FB/IG),37.0,711,14
M-10195,TikTok Ads,23.92,241,13
M-10196,SEO/Direct,5.25,341,1
M-10197,TikTok Ads,24.01,959,42
M-10198,TikTok Ads,21.48,407,25
M-10199,SEO/Direct,5.32,391,1
M-10200,Google Search,40.95,791,11
M-10201,Google Search,46.15,931,15
M-10202,Google Search,48.06,122,2
M-10203,Google Search,47.77,828,10
M-10204,SEO/Direct,4.83,617,2
M-10205,TikTok Ads,21.41,188,5
M-10206,SEO/Direct,4.64,378,2
M-10207,SEO/Direct,4.62,291,1
M-10208,Google Search,46.23,503,11
M-10209,TikTok Ads,22.82,862,58
M-10210,Google Search,42.73,621,11
M-10211,TikTok Ads,21.11,487,26
M-10212,SEO/Direct,4.94,979,3
M-10213,TikTok Ads,22.14,584,30
M-10214,SEO/Direct,5.23,399,1
M-10215,TikTok Ads,20.84,267,17
M-10216,Meta (FB/IG),31.75,871,30
M-10217,Google Search,43.75,207,2
M-10218,SEO/Direct,4.99,956,2
M-10219,Meta (FB/IG),35.13,459,7
M-10220,SEO/Direct,5.3,347,1
M-10221,SEO/Direct,5.08,161,1
M-10222,Meta (FB/IG),32.39,240,5
M-10223,Meta (FB/IG),32.27,492,10
M-10224,Google Search,48.77,496,7
M-10225,TikTok Ads,20.32,454,30
M-10226,TikTok Ads,23.52,393,9
M-10227,Google Search,44.22,721,8
M-10228,TikTok Ads,23.14,315,11
M-10229,Google Search,45.32,441,5
M-10230,TikTok Ads,20.76,203,8
M-10231,Google Search,43.1,737,8
M-10232,TikTok Ads,22.33,811,20
M-10233,Google Search,41.7,448,4
M-10234,Meta (FB/IG),34.02,632,22
M-10235,SEO/Direct,4.87,497,3
M-10236,SEO/Direct,5.13,443,1
M-10237,SEO/Direct,5.32,936,3
M-10238,Meta (FB/IG),33.25,856,26
M-10239,Meta (FB/IG),34.8,881,20
M-10240,Google Search,42.94,239,3
M-10241,Google Search,44.66,920,19
M-10242,SEO/Direct,4.63,993,6
M-10243,Google Search,43.88,626,4
M-10244,Meta (FB/IG),32.68,741,19
M-10245,Google Search,43.53,621,4
M-10246,TikTok Ads,20.88,213,7
M-10247,Meta (FB/IG),36.3,362,8
M-10248,Meta (FB/IG),31.78,107,2
M-10249,SEO/Direct,4.96,873,4
M-10250,TikTok Ads,23.43,858,32
M-10251,SEO/Direct,5.49,314,2
M-10252,TikTok Ads,20.16,867,25
M-10253,SEO/Direct,4.56,972,3
M-10254,Google Search,42.45,510,5
M-10255,SEO/Direct,4.83,809,3
M-10256,Meta (FB/IG),38.35,909,30
M-10257,TikTok Ads,21.76,168,6
M-10258,TikTok Ads,20.4,794,37
M-10259,SEO/Direct,5.22,525,1
M-10260,TikTok Ads,19.95,178,6
M-10261,Meta (FB/IG),32.13,493,7
M-10262,Google Search,45.03,655,10
M-10263,TikTok Ads,23.5,183,9
M-10264,Google Search,42.84,435,9
M-10265,Meta (FB/IG),33.32,122,2
M-10266,SEO/Direct,4.65,826,4
M-10267,Google Search,42.04,264,3
M-10268,SEO/Direct,4.85,701,5
M-10269,TikTok Ads,21.6,878,33
M-10270,SEO/Direct,5.01,895,5
M-10271,Google Search,47.41,489,10
M-10272,Google Search,48.2,485,8
M-10273,TikTok Ads,21.54,189,8
M-10274,SEO/Direct,4.7,869,3
M-10275,Meta (FB/IG),32.5,128,1
M-10276,Google Search,46.65,558,7
M-10277,SEO/Direct,5.38,625,1
M-10278,SEO/Direct,5.42,636,3
M-10279,Google Search,43.84,904,9
M-10280,Meta (FB/IG),37.72,274,7
M-10281,Meta (FB/IG),35.88,511,14
M-10282,Google Search,41.33,869,7
M-10283,Google Search,44.76,355,3
M-10284,TikTok Ads,22.87,453,18
M-10285,Meta (FB/IG),35.6,678,11
M-10286,Meta (FB/IG),32.98,891,24
M-10287,SEO/Direct,4.71,687,2
M-10288,Meta (FB/IG),33.04,722,20
M-10289,Meta (FB/IG),34.34,876,18
M-10290,Google Search,43.79,170,3
M-10291,Meta (FB/IG),35.36,562,17
M-10292,Google Search,45.47,693,11
M-10293,TikTok Ads,24.06,821,47
M-10294,Google Search,46.88,599,11
M-10295,TikTok Ads,22.14,385,10
M-10296,SEO/Direct,4.56,141,0
M-10297,TikTok Ads,23.46,497,32
M-10298,Google Search,40.64,663,5
M-10299,SEO/Direct,4.52,458,2
M-10300,TikTok Ads,23.18,823,38
M-10301,SEO/Direct,5.31,149,0
M-10302,Google Search,47.34,315,6
M-10303,Meta (FB/IG),34.91,507,14
M-10304,Meta (FB/IG),31.93,142,2
M-10305,Google Search,48.15,296,5
M-10306,Meta (FB/IG),37.26,362,10
M-10307,Meta (FB/IG),31.74,118,2
M-10308,Meta (FB/IG),31.9,763,11
M-10309,SEO/Direct,4.88,828,4
M-10310,SEO/Direct,5.45,897,6
M-10311,Google Search,48.95,669,9
M-10312,TikTok Ads,23.98,478,14
M-10313,Meta (FB/IG),33.94,131,4
M-10314,Google Search,42.57,170,1
M-10315,SEO/Direct,4.92,701,5
M-10316,Meta (FB/IG),35.88,538,12
M-10317,TikTok Ads,20.45,786,28
M-10318,Google Search,46.85,810,15
M-10319,SEO/Direct,4.88,156,1
M-10320,SEO/Direct,5.36,970,5
M-10321,Meta (FB/IG),37.35,540,20
M-10322,TikTok Ads,20.28,902,53
M-10323,SEO/Direct,5.47,871,4
M-10324,TikTok Ads,23.31,114,4
M-10325,Google Search,45.21,444,7
M-10326,Google Search,45.96,921,20
M-10327,TikTok Ads,23.33,131,4
M-10328,TikTok Ads,21.18,989,48
M-10329,Meta (FB/IG),33.67,580,17
M-10330,Meta (FB/IG),38.15,594,11
M-10331,SEO/Direct,5.48,680,4
M-10332,Meta (FB/IG),36.95,754,20
M-10333,Google Search,43.7,769,14
M-10334,TikTok Ads,21.15,235,9
M-10335,TikTok Ads,21.9,926,48
M-10336,SEO/Direct,4.92,175,0
M-10337,TikTok Ads,20.34,634,30
M-10338,SEO/Direct,5.3,255,1
M-10339,Google Search,45.18,427,8
M-10340,Meta (FB/IG),31.54,168,5
M-10341,TikTok Ads,21.72,786,50
M-10342,Meta (FB/IG),33.93,148,3
M-10343,Meta (FB/IG),31.83,574,10
M-10344,SEO/Direct,4.73,366,2
M-10345,TikTok Ads,23.65,961,27
M-10346,TikTok Ads,23.48,142,5
M-10347,SEO/Direct,5.08,200,0
M-10348,Google Search,45.26,385,6
M-10349,Meta (FB/IG),31.61,887,32
M-10350,TikTok Ads,21.41,500,13
M-10351,Google Search,46.93,680,7
M-10352,SEO/Direct,5.21,546,3
M-10353,SEO/Direct,4.78,818,2
M-10354,Meta (FB/IG),36.23,348,7
M-10355,Meta (FB/IG),32.46,311,5
M-10356,Google Search,44.99,632,8
M-10357,SEO/Direct,4.92,557,2
M-10358,Meta (FB/IG),34.95,522,11
M-10359,Meta (FB/IG),37.46,511,15
M-10360,TikTok Ads,21.35,970,22
M-10361,Google Search,45.31,551,7
M-10362,SEO/Direct,4.85,502,3
M-10363,SEO/Direct,4.99,780,4
M-10364,Meta (FB/IG),37.8,882,16
M-10365,SEO/Direct,4.63,902,5
M-10366,Google Search,46.33,676,6
M-10367,TikTok Ads,23.94,249,11
M-10368,Google Search,42.06,756,6
M-10369,Meta (FB/IG),32.3,327,7
M-10370,SEO/Direct,5.04,930,5
M-10371,TikTok Ads,19.97,415,13
M-10372,Google Search,46.28,596,9
M-10373,Meta (FB/IG),38.1,166,3
M-10374,TikTok Ads,22.89,832,41
M-10375,Google Search,46.54,493,10
M-10376,TikTok Ads,21.17,267,10
M-10377,TikTok Ads,20.77,147,8
M-10378,Google Search,42.78,417,5
M-10379,Google Search,49.04,721,9
M-10380,Meta (FB/IG),31.54,916,28
M-10381,Meta (FB/IG),37.94,958,18
M-10382,Meta (FB/IG),36.45,982,34
M-10383,Google Search,41.73,711,15
M-10384,Meta (FB/IG),31.88,579,12
M-10385,Meta (FB/IG),32.82,889,21
M-10386,Google Search,40.94,212,2
M-10387,Google Search,46.78,412,5
M-10388,TikTok Ads,20.11,581,20
M-10389,Google Search,47.0,181,3
M-10390,SEO/Direct,5.28,930,6
M-10391,TikTok Ads,21.45,455,27
M-10392,Google Search,47.11,417,5
M-10393,Meta (FB/IG),35.24,749,23
M-10394,Meta (FB/IG),35.51,628,12
M-10395,TikTok Ads,21.96,909,23
M-10396,Google Search,40.89,194,2
M-10397,SEO/Direct,4.71,459,2
M-10398,Meta (FB/IG),33.1,788,26
M-10399,SEO/Direct,5.22,839,4
M-10400,Google Search,45.86,866,7
M-10401,Google Search,47.21,267,4
M-10402,Meta (FB/IG),36.65,532,7
M-10403,TikTok Ads,22.18,117,3
M-10404,Google Search,41.9,850,9
M-10405,Google Search,43.48,662,5
M-10406,SEO/Direct,4.54,552,1
M-10407,TikTok Ads,22.25,565,31
M-10408,Meta (FB/IG),35.95,577,14
M-10409,Google Search,45.26,292,5
M-10410,Google Search,40.83,953,7
M-10411,Meta (FB/IG),35.63,329,8
M-10412,TikTok Ads,22.32,157,9
M-10413,TikTok Ads,20.19,282,16
M-10414,Google Search,48.86,863,13
M-10415,TikTok Ads,20.86,803,53
M-10416,SEO/Direct,4.89,621,3
M-10417,SEO/Direct,4.97,123,0
M-10418,SEO/Direct,4.74,736,4
M-10419,Google Search,43.13,205,3
M-10420,TikTok Ads,22.7,769,30
M-10421,TikTok Ads,22.66,931,49
M-10422,Google Search,46.59,517,10
M-10423,TikTok Ads,20.22,521,15
M-10424,TikTok Ads,22.81,771,41
M-10425,Google Search,42.98,919,12
M-10426,TikTok Ads,22.09,894,21
M-10427,TikTok Ads,20.74,687,39
M-10428,TikTok Ads,19.98,111,2
M-10429,Google Search,44.23,785,12
M-10430,Google Search,44.12,237,3
M-10431,TikTok Ads,20.96,522,29
M-10432,TikTok Ads,24.12,693,36
M-10433,TikTok Ads,22.1,900,53
M-10434,SEO/Direct,5.46,307,0
M-10435,TikTok Ads,23.03,405,21
M-10436,Meta (FB/IG),37.1,850,25
M-10437,Google Search,40.9,400,5
M-10438,Google Search,48.62,911,11
M-10439,TikTok Ads,20.63,893,50
M-10440,Meta (FB/IG),37.09,704,17
M-10441,TikTok Ads,23.29,346,10
M-10442,Google Search,43.46,457,4
M-10443,SEO/Direct,5.05,184,0
M-10444,Meta (FB/IG),34.78,609,11
M-10445,Google Search,42.0,714,7
M-10446,Google Search,42.13,183,3
M-10447,SEO/Direct,5.28,401,2
M-10448,Google Search,45.38,425,3
M-10449,TikTok Ads,22.91,171,6
M-10450,Meta (FB/IG),31.64,217,6
M-10451,Meta (FB/IG),32.41,510,8
M-10452,SEO/Direct,5.16,436,3
M-10453,SEO/Direct,4.75,511,2
M-10454,SEO/Direct,5.22,373,1
M-10455,Google Search,41.12,579,10
M-10456,Meta (FB/IG),37.55,458,14
M-10457,TikTok Ads,19.94,643,18
M-10458,Meta (FB/IG),38.26,200,2
M-10459,Meta (FB/IG),35.46,998,23
M-10460,SEO/Direct,5.33,631,3
M-10461,TikTok Ads,22.28,673,25
M-10462,Google Search,49.13,607,11
M-10463,Google Search,42.3,505,10
M-10464,Meta (FB/IG),34.47,198,3
M-10465,TikTok Ads,20.05,376,15
M-10466,TikTok Ads,21.75,653,25
M-10467,TikTok Ads,24.07,534,22
M-10468,Meta (FB/IG),31.59,330,11
M-10469,TikTok Ads,22.68,238,9
M-10470,SEO/Direct,4.78,118,0
M-10471,SEO/Direct,4.73,103,0
M-10472,SEO/Direct,5.04,850,2
M-10473,Meta (FB/IG),38.43,452,15
M-10474,SEO/Direct,4.58,644,4
M-10475,Meta (FB/IG),34.43,297,6
M-10476,TikTok Ads,23.78,515,17
M-10477,SEO/Direct,5.46,299,1
M-10478,Meta (FB/IG),34.63,674,24
M-10479,SEO/Direct,4.93,481,2
M-10480,Meta (FB/IG),38.24,685,12
M-10481,Meta (FB/IG),37.52,339,4
M-10482,SEO/Direct,4.67,195,1
M-10483,SEO/Direct,5.34,231,0
M-10484,SEO/Direct,5.13,412,1
M-10485,TikTok Ads,21.84,756,30
M-10486,Google Search,43.66,103,0
M-10487,Meta (FB/IG),35.71,533,17
M-10488,Meta (FB/IG),36.99,370,13
M-10489,TikTok Ads,21.22,844,30
M-10490,SEO/Direct,4.53,963,3
M-10491,Meta (FB/IG),38.35,225,5
M-10492,TikTok Ads,23.98,172,5
M-10493,SEO/Direct,4.69,509,3
M-10494,Meta (FB/IG),32.74,737,21
M-10495,SEO/Direct,4.81,469,3
M-10496,Google Search,41.93,255,5
M-10497,TikTok Ads,21.76,584,14
M-10498,TikTok Ads,19.9,499,32
M-10499,Meta (FB/IG),32.02,560,11
M-10500,SEO/Direct,4.63,370,2
M-10501,Meta (FB/IG),36.75,219,7
M-10502,Meta (FB/IG),34.17,337,7
M-10503,Google Search,43.31,595,8
M-10504,SEO/Direct,4.52,103,0
M-10505,SEO/Direct,5.23,683,3
M-10506,TikTok Ads,20.68,481,23
M-10507,TikTok Ads,22.65,812,35
M-10508,Meta (FB/IG),33.64,932,16
M-10509,TikTok Ads,20.0,916,28
M-10510,SEO/Direct,4.74,913,5
M-10511,SEO/Direct,5.49,353,2
M-10512,Google Search,41.36,786,6
M-10513,SEO/Direct,5.19,822,3
M-10514,SEO/Direct,4.62,211,0
M-10515,Meta (FB/IG),37.97,316,8
M-10516,Google Search,45.03,183,2
M-10517,Meta (FB/IG),33.53,565,20
M-10518,SEO/Direct,4.94,592,4
M-10519,TikTok Ads,23.41,816,31
M-10520,Meta (FB/IG),32.95,897,13
M-10521,SEO/Direct,4.93,584,3
M-10522,Google Search,41.58,664,8
M-10523,TikTok Ads,20.74,984,29
M-10524,Meta (FB/IG),37.55,807,28
M-10525,Google Search,45.07,850,10
M-10526,Google Search,48.5,943,16
M-10527,Google Search,43.63,867,10
M-10528,Google Search,44.99,461,3
M-10529,Google Search,44.19,943,9
M-10530,Google Search,44.71,828,16
M-10531,SEO/Direct,4.6,263,1
M-10532,Meta (FB/IG),37.22,330,10
M-10533,Meta (FB/IG),35.42,522,11
M-10534,SEO/Direct,4.7,652,2
M-10535,Meta (FB/IG),37.68,761,15
M-10536,Google Search,42.38,277,4
M-10537,Google Search,49.46,214,2
M-10538,SEO/Direct,4.77,560,1
M-10539,SEO/Direct,4.55,743,5
M-10540,Meta (FB/IG),35.32,366,10
M-10541,SEO/Direct,4.6,397,2
M-10542,Meta (FB/IG),37.3,261,4
M-10543,TikTok Ads,23.37,245,14
M-10544,SEO/Direct,4.6,995,5
M-10545,TikTok Ads,21.77,722,25
M-10546,TikTok Ads,22.48,860,43
M-10547,Google Search,41.8,436,9
M-10548,Meta (FB/IG),37.06,900,28
M-10549,TikTok Ads,19.95,445,17
M-10550,SEO/Direct,5.4,909,3
M-10551,SEO/Direct,4.98,569,3
M-10552,Meta (FB/IG),32.33,576,7
M-10553,Meta (FB/IG),38.18,135,3
M-10554,Meta (FB/IG),32.06,254,5
M-10555,Meta (FB/IG),38.07,434,6
M-10556,Google Search,44.06,619,12
M-10557,SEO/Direct,4.96,472,1
M-10558,Meta (FB/IG),36.34,935,32
M-10559,TikTok Ads,21.61,181,6
M-10560,TikTok Ads,21.0,754,23
M-10561,TikTok Ads,21.31,470,14
M-10562,TikTok Ads,19.96,725,23
M-10563,TikTok Ads,21.67,452,13
M-10564,TikTok Ads,22.79,417,18
M-10565,Google Search,43.03,686,10
M-10566,Meta (FB/IG),35.13,287,4
M-10567,TikTok Ads,22.25,130,8
M-10568,TikTok Ads,20.61,328,11
M-10569,SEO/Direct,5.24,590,2
M-10570,Meta (FB/IG),37.66,650,21
M-10571,Google Search,44.32,408,5
M-10572,Google Search,46.75,851,12
M-10573,Google Search,40.76,501,9
M-10574,Google Search,48.2,507,5
M-10575,Meta (FB/IG),38.18,291,8
M-10576,TikTok Ads,20.33,754,47
M-10577,Meta (FB/IG),37.2,368,8
M-10578,Google Search,41.56,492,5
M-10579,Google Search,44.19,914,19
M-10580,SEO/Direct,5.03,284,1
M-10581,Meta (FB/IG),35.21,215,3
M-10582,SEO/Direct,4.81,238,1
M-10583,TikTok Ads,20.0,241,5
M-10584,SEO/Direct,4.51,270,2
M-10585,TikTok Ads,24.05,459,27
M-10586,Meta (FB/IG),37.52,582,20
M-10587,TikTok Ads,23.64,758,28
M-10588,SEO/Direct,4.65,879,6
M-10589,SEO/Direct,5.45,585,1
M-10590,Meta (FB/IG),32.21,100,2
M-10591,Meta (FB/IG),34.27,926,27
M-10592,Google Search,41.3,449,9
M-10593,TikTok Ads,21.55,134,4
M-10594,SEO/Direct,5.4,465,1
M-10595,Google Search,42.15,565,10
M-10596,TikTok Ads,22.91,474,12
M-10597,Meta (FB/IG),34.83,445,14
M-10598,SEO/Direct,4.89,622,1
M-10599,Google Search,46.93,871,7
M-10600,Google Search,44.83,292,6
M-10601,SEO/Direct,5.19,371,2
M-10602,SEO/Direct,4.7,192,1
M-10603,Google Search,42.39,464,9
M-10604,TikTok Ads,22.61,906,20
M-10605,Meta (FB/IG),34.49,340,12
M-10606,SEO/Direct,5.22,202,1
M-10607,SEO/Direct,4.92,730,5
M-10608,TikTok Ads,19.81,807,30
M-10609,TikTok Ads,21.31,814,40
M-10610,SEO/Direct,5.33,992,4
M-10611,Google Search,47.34,348,4
M-10612,TikTok Ads,22.03,357,20
M-10613,TikTok Ads,21.0,474,18
M-10614,Google Search,42.44,968,19
M-10615,SEO/Direct,4.96,690,4
M-10616,Meta (FB/IG),34.41,827,13
M-10617,Google Search,48.6,745,8
M-10618,TikTok Ads,22.65,228,5
M-10619,Meta (FB/IG),34.12,398,7
M-10620,SEO/Direct,5.01,171,1
M-10621,TikTok Ads,23.91,921,43
M-10622,Google Search,44.12,256,4
M-10623,Meta (FB/IG),35.04,604,21
M-10624,Google Search,49.02,835,17
M-10625,Google Search,47.85,573,9
M-10626,SEO/Direct,4.6,384,2
M-10627,Google Search,49.5,782,16
M-10628,Google Search,44.94,732,11
M-10629,TikTok Ads,22.88,364,15
M-10630,SEO/Direct,5.22,537,3
M-10631,SEO/Direct,4.92,942,6
M-10632,Meta (FB/IG),34.8,488,16
M-10633,SEO/Direct,4.55,373,2
M-10634,TikTok Ads,23.32,785,30
M-10635,Meta (FB/IG),34.96,403,6
M-10636,Meta (FB/IG),37.38,962,30
M-10637,TikTok Ads,20.93,414,21
M-10638,Google Search,48.13,934,14
M-10639,Google Search,42.64,213,3
M-10640,TikTok Ads,20.2,755,25
M-10641,SEO/Direct,4.74,345,1
M-10642,TikTok Ads,20.9,616,29
M-10643,Google Search,45.09,496,8
M-10644,Google Search,43.16,753,16
M-10645,Meta (FB/IG),34.08,396,8
M-10646,Google Search,40.78,961,20
M-10647,Google Search,49.47,232,3
M-10648,TikTok Ads,22.87,771,24
M-10649,SEO/Direct,4.66,199,0
M-10650,SEO/Direct,5.06,420,1
M-10651,Google Search,42.88,836,10
M-10652,Google Search,44.99,512,6
M-10653,TikTok Ads,20.86,562,20
M-10654,Meta (FB/IG),35.09,145,4
M-10655,Google Search,43.82,680,13
M-10656,TikTok Ads,22.4,693,40
M-10657,SEO/Direct,4.59,135,0
M-10658,TikTok Ads,22.76,393,13
M-10659,Meta (FB/IG),36.15,759,26
M-10660,SEO/Direct,4.67,193,0
M-10661,Meta (FB/IG),32.46,288,7
M-10662,Google Search,44.55,879,7
M-10663,SEO/Direct,4.83,831,3
M-10664,Google Search,46.58,371,3
M-10665,SEO/Direct,4.82,831,5
M-10666,Google Search,49.25,833,17
M-10667,Meta (FB/IG),34.84,473,10
M-10668,SEO/Direct,4.64,158,0
M-10669,SEO/Direct,5.31,191,0
M-10670,Meta (FB/IG),37.57,193,6
M-10671,Google Search,49.44,687,9
M-10672,SEO/Direct,5.44,358,2
